videoId,title,description,published_at,channel,thumbnail_url,transcripts,generated_by_youtube,original_lang,views,comments,likes
targeted we'll also show you images and
I want our producers to show you the
image of radio Pakistan headquarters
also being set on fire anti-pakistan
Army slogans have been heard protesters
tried to try to Target the isi
headquarters they were pushed back
protesters are demanding the immediate
release of Imran Khan Imran Khan
arrested by Pakistani Rangers in fact
you'll also hear Imran Khan in a moment
from now
before he was arrested his party
released a video and in that video
he shot Jihad he said Azadi
plates now
here the religious connotation and what
Imran Khan is saying and reports just
coming in that's the radio Pakistan
headquarters that has been set on fire
now there is an internet slow down
across Pakistan so whether it's social
media platforms like Twitter uh or uh
Facebook or Instagram a very difficult
reports that we are getting from
Pakistan very difficult for people to
upload images is this an indication that
the Pakistan Army May begin its
Crackdown a lot of reactions coming in
Imran Khan party supporters are saying
come out on the streets it's now or
never in Pakistan now that's the image
that you see of Imran Khan being
arrested but just in a moment from now
you will hear there's a man outside isi
headquarters
and he's saying the police said the Army
has opened fire when protesters try to
Target the isi headquarters
leader
foreign
foreign
[Music]
thank you
thank you two images that actually stand
out the house of the core commander of
Lahore being targeted imagine these are
people who virtually rule Pakistan how
can the core Commander's house be
targeted does this indicate that there
are divisions in the Pakistan Army some
people support Imran Khan the second
image and equally shocking is Radio
Pakistan office being set on fire by the
protesters and watch this you're this
man you're this man I want you to hear
him this is isi headquarters in Pakistan
foreign
foreign
on these developments and shiv when you
look at these images that are coming out
of Pakistan in multiple images radio
Pakistan being set on fire core
commanders house being set on fire and
F6 aircraft being set on fire shift
described to us and to our viewers
what's happening in Pakistan this is
tantamount gaurav to storming the king's
Palace itself in Pakistan because you
know like you rightly said it doesn't
get higher than the Pakistan Army uh
What uh the Pakistan supporters of Imran
Khan have basically done today uh is
storm and destroy the house of the four
core Commander possibly the most
important Army formation uh which is uh
you know very close to the India Border
in Lahore they've completely destroyed
his house nobody knows where the core
Commander is uh the Pakistani prime
minister the Pakistan Army Chief the
chief of the national accountability
Bureau uh strangely happen not to be in
the country while the entire nation is
Burning uh we saw protesters uh you know
entering the gates of General
headquarters in Rawalpindi it has never
happened before you know there have been
attempts before but this is for the
first time that they've actually gotten
inside they've stormed the isi
headquarters in Islamabad or at least
try to they were obviously pushed back
with a great degree of force the
Pakistan Army has been ordered to fire
back at Imran Khan's supporters in some
areas we understand some casualties have
also been inflicted in some areas but in
image after image from miyawali to
faisalabad you know to Sindh to Karachi
to Islamabad Rawalpindi Lahore quetta no
matter which major town or city in
Pakistan you talk about Peshawar as well
Khyber paktunqua Province you know there
is arson there is damage Corps
commanders Army formations establishment
buildings are being attacked with a
ferocity never seen before in Pakistan
you know whether you know whether this
was because of the war cry that Imran
Khan had issued of whether it either
come has come organically from a country
that's already been in free fall for the
last couple of years one cannot say but
what one can definitely say is the
implosion of Pakistan is complete one
only needs to see how much were us it
can actually get what I can tell you
by the Pakistan Army is going to be big
that's right gaurav the pictures of that
aircraft that we're showing to our
viewers happens to be an F6 it's a
Shenyang F6 how ironic isn't it got a a
Chinese aircraft a symbol of Pakistan
Chinese bonomy and partnership Ablaze
outside the Miami Air Base one of the
most viral pictures China completely
silent so far so it's really really
amazing to see this total caving in of
Pakistan shiv many thanks for joining me
keep tracking that story I will come
back to you for more what's extremely
critical at this point of time is the
Army permitting this are they letting
people vent uh because let the steam off
and then the Army will crack down or are
there major fissures in the Pakistan
Army the next couple of days will be
very very interesting and trust us India
today will continue to get to the latest
on this major development Imran Khan's
war cry that she was just talking about
when Imran Khan asked for Jihad J Jihad
for Azadi and now there are Azadi chants
on the streets of Pakistan we'll track
that story the other big story we're
tracking here on India first the makers
of the Kerala story have now moved the
Supreme Court seeking the vacation of a
ban uh removal of the ban on the film in
West Bengal the makers though are saying
and the The Plea is they've also sought
permission that the Tamil Nadu
government should provide security to
theaters for screening the movie across
Tamil Nadu and this after Bengal chief
minister Mamta Banerjee ordered an
immediate ban on the screening of the
film uh produced by vipul Shah directed
by sudiptosen in fact vipul Shah
sudiptosen and actor Ada Sharma join me
on this story to talk about the band and
their effort
foreign
the Kerala story have approached the
Supreme Court against Mamta Banerjee
government's decision to ban the film in
Bengal the filmmakers are protesting the
ban even as uttar Pradesh has decided to
make the film tax free for wider
audiences after madhya Pradesh but Mamta
banerjee's allegations are serious she's
citing breach of Peace she's citing a
Law and Order threat in the state to
restrict the film in her State she is
also alleged Distortion of facts joining
me now for more on this big story vipul
amritlal Shah the film producer Ada
Sharma is the star of the movie sudeep
Hussain is the director of the movie I
want to begin by asking you vipul Shah
we are told you've approached the
Supreme Court what's your prayer against
the band sir
uh
uh it would be very difficult to discuss
the technicalities of it but I can tell
you that we have approached the court
honorable Supreme Court under the
provisions of the law and we are hoping
that we'll get a quick hearing and
hopefully a judgment that would be
historical in its nature and it will uh
you know create a complete free path for
freedom of expression here on
okay you're battling for freedom of
expression in Bengal I mean in a state
where one would expect there would be so
much about freedom of expression and
there were several leaders who were
talking about freedom of expression till
very recently suddenly the film has been
banned are you surprised or is this
unexpected lines
no we are actually this is I completely
taken aback I don't I didn't realize
that this is coming on in the way
because uh you know I am proud Bengali
and I am a proud a free thinker and uh I
recall when the debate about padmavat
came up and it was banned the first
political leader was Mamta Banerjee who
supported padmavat and eventually the
ban was lifted and then very recently
the debate with uh debate about that BBC
documentary
was the fourth Forefront of this of this
protest and still she is protesting and
asking for the right of watching uh
those two episodes of BBC documentary
suddenly what wrong went wrong happened
to them that they come forward and
without any substantial proof
they went on and banned this film first
four days almost almost 500 screens I
mean 500 shows happened in Bengal
without a single iota of Doubt of any
kind of uh any kind of unrest any kind
of Law and Order issue but suddenly Didi
could see that a lion and issue come up
I it is it is unreal you know are you
saying it's
okay this is absolutely not I I can't I
can't fathom the fact that it is coming
from West Bengal okay Ada Sharma respond
to Mamta Banerjee saying that the film
is a distortion of facts and she fears a
breakdown of law in order in the state
and that is why Ada the film has been
banned
right I think uh there have been shows
that have aired before and there will
rule or not a problem at least according
to what I am aware of uh I don't know if
she watched the film yet if she hasn't
had really request her to watch it
because uh I feel like our audience is
so many crores of people won't be just
supported for something that's uh that's
not telling the truth so I feel if she
watches it she might change her mind and
she might actually endorse this movie
and say yeah this is a movie against
terrorism and we should all fight
terrorism and uh we should definitely
all watch this movie maybe she watch it
and then have um special screenings for
just women so I hope he watches it okay
I mean you sound you sound very hopeful
that you you want her to watch the film
not only will she change her view you
say but she will organize special
screening for young women and why should
she do that I'll come to you to respond
to that but vipul Shah once again coming
back to you sir loin order breakdown is
a very serious issue your film sir
stands accused of inciting a section of
the community and some leaders say it
targets only one one community and
falsely
so there are lots of questions within
this one question so let me take them
one by one first thing is that this film
is not against any Community any
religion or the state of Kerala itself
this film is only and only against
terrorism and I think we have spoken
about this many many many times and it
should settle this matter saying
considering you come from Bengal you
understand the mindset of the people uh
what is your appreciation why has the
film been banned in Bengal and why are
restrictions on this film even in Tamil
Nadu uh in Tamil Nadu the film is not
banned there is only one uh gentleman
has taken the state in Ransom and he
personally has threatened the uh Hall
owners the exhibitors that against our
against our film I we get to know that
he is a history shooter and he has
created many similar trouble in past but
we are surprised that such a Democratic
leader like Mr Salim who himself a film
person
allowing
aguna hooligan to take the state in
Ransom which is quite unusual we pray we
request Mr Stalin to watch the film and
allow us to screen it ASAP and when it
comes to Bengal that it is absolutely
ridiculous that is not acceptable that
after five days with with peaceful run
with a full house RAM and people are
from all weeks of Life all all the
communities who watch the film for five
days it's almost 450 to 500 shows okay
with full house is is without any kind
of disturbance and coming out of the
auditory I'm showering only good words
only blessings for us suddenly I gave a
feeling of a threat on Law and Order
issue situation in Bengal I think there
is there may be a political agenda which
I am not aware of because so there is a
political agenda okay it is unusual it
is uncalled for it is uncalled for that
much I can tell you okay so you say
that's politics behind the Banning of
this film in Bengal Ada Sharma your
critics or the critics of this movie say
the trailer initially spoke of 32 000
girls I know we've had a discussion on
this a couple of days ago but initially
it spoke of 32 000 girls who are
abducted converted and sold off in Syria
and Yemen NCP MLA and I want to come to
that in Greater detail even with vipul
in just a moment but NCP MLA jitendra
award says you are now down to just
three cases he's accused the filmmakers
of gross exaggeration ma'am
sorry can you repeat the last line I
didn't know what you said you know uh
from 32 000 down to three just think
this is exaggeration this is gross
misrepresentation of facts as the
allegation ma'am I think we've made a
thing on the 32 000. I I even said when
we went to channels in the beginning I
thought when we were making this film
and putting it out I thought people
would be like oh my God this is
happening to girls and this is the pain
that women are going through and they're
being drugged and uh raped and
impregnated and sent off uh away from
their homes but what people stuck onto
first one a statistical number because
I'm guessing uh that number didn't
contain one member of their family I
mean if it was your mother or your
sister your girlfriend or your friend I
don't think people would be picking on
that number because then Humanity comes
into it and then it's your person
for me it's a very big deal because I
played this one though of course in a
film I can't make 32 000 characters so I
played the one girl and she went through
so much I wouldn't wish that on my worst
enemy ever either however like proposal
said with the number uh King now since
it's gone to the Supreme Court and since
they've said don't talk about it right
now till things that so I don't know if
you're even allowed to talk about it now
but if you go through older interviews
of us need dissected everything and
spoken about the number more than we
have even about the girls who Okay um
been gone and then families work yeah
miserable we have spoken about the
number like at length and depth has put
out facts he's put on website details
he's put in the exact calculation number
of years with proof also if you come and
watch our film at the end of the film
also there's a lot of okay testimonials
that you get to see and I think the
question will be answered okay but vipul
also said something which is very
disturbing the NCP MLA actually wants
the filmmakers to be hanged publicly
respond to his criticism also tell me do
you fear for your for your security for
your life given this very high octane
criticism that's coming your way from
very powerful quarters
yeah
I find this comment actually funny so
every time I hear it I kind of laugh I'm
sure Mr award is uh aware of the law and
he's made a common for effect as I put
it and I'm sure he doesn't mean any harm
literally to any of us I mean we we
definitely believe that that's the
reality uh I don't think uh that we are
scared uh there are no such threads that
we should be worried about
precaution is always better so yes we
are cautious but there is no such threat
on our lives or our safety at this point
of time
that's actually a wave of you
[Music]
[Music]
in this film should security be provided
do you need security given the threats
that may come your way
I I
I don't think I don't think that we have
we need any security yes to precaution
yes but as far as security is concerned
already the verdict has been given God
of that uh there are three testimonials
has come to us if you want I can share
those testimonials where
121 years old girl she was constantly
abusing me since our trailer was
outlasted into a 12 days she was she was
telling me calling names and whatever
what not yesterday night she posted that
I want to publicly apologize that I have
seen your will and such a wonderful film
I think every girl every parent should
watch the film now I think the verdict
is out so my security will not make much
different people people have decided to
watch the film and people will watch the
film nobody can stop that no political
fight can stop that okay but Ada how
would you respond to the criticism
that's coming your way as the lead in in
the Kerala story or films like the
Kashmir file that this is targeting of a
single Community whether it's Kashmir
files or the Kerala story
the for me criticism of course I take
criticism and praise both but uh when
people are coming out of the film like
people who've seen the film and actually
seen it from start to finish and not
basing it on a trailer that they saw and
judging I don't think any person has
come out saying after watching the film
saying that it's uh demonizing any
Community or they come out with what we
wanted to always say from the start look
at the pain of the girls and let's bring
awareness so that other girls don't fall
into this trap and get into their own
organizations so I think everyone's
getting that exact message is going
exactly so that I'm I'm really happy we
are able to do that it gives me
gratefulness
and Ada Sharma as always many thanks for
joining me here on India today and wish
you all the best for a super success uh
for the Kerala story vipul Shah says and
very clearly this is not islamophobia
what they're trying to do is create
awareness about terrorism teraphobia is
what their aim remains for joining me
here on India Today many thanks a quick
break news and updates continue on India
Today stay with us
foreign
[Music]
voters of Karnataka
what happened
absolutely great fantastic it's
karnataka's big decision day
of War voters decide the next Sakara to
be voted today 10th May 7 A.M onwards
only on India Today TV
a good set of fourth quarter earnings
can you take us through some of the key
numbers including net profit which is
about 1350 crore versus
606 crore on a year-on-year basis
yeah so bank has shown a very good
performance in this financial year March
23 both on Q and Q basis and also on the
year-on-year basis as you are aware that
our net profit has gone up by 18 and we
have touched 4 000 crore of net profit
during the year as far as the operating
profit is concerned we have touched 13
000 crore we have crossed 13 000 crore
of operating profit also with a growth
of 33 percent as far as the name is
concerned we have closed the name at
3.01 percent and we it was based on a
healthy net interest margin interest
income which grew by around 25 percent
our interest expenses even though there
has been increase in the cost of
resources our interest expenses have
grown by only 13 percent with what what
it has done is that our Nim net interest
margin has grown by 44 so which has
helped for improvement in the overall
name for the bank both on the quarter on
quarter basis and also on the
year-on-year basis Mr Karnataka I want
to talk about the a NPA position uh what
is the picture as far as NPS are
concerned and what are your plans and
strategies in this regard to further see
Improvement uh in this regard
yeah so as far as the NPA position of
the bank is concerned we have closed the
gross NPA amount at around 37 000 crore
with a percentage of 7.3 as far as the
net NPI is concerned we have closed the
amount at around 8 000 crores with the
net npf 1.7 so that is a good number and
both the percentage terms gross and net
pay amount wise and percentage-wise it
has come down so far as far as the
guidance is concerned for gross NPA we
are giving a guidance of 6.5 percent and
for net NPA we are giving a guidance of
1.3 percent so as far as the strategy is
concerned we have a very strong strategy
of recoveries wherein OTS would be there
other kinds of recoveries would also be
there another thing is that lot of
stress will be given on the upgradation
of accounts which have fallen to NPA
during this financial year and during
the current quarter so upgradation will
be another strong strategy which is
there apart from that we are monitoring
our portfolio SMA portfolio very closely
so we also feel that the slippage ratio
will also improve and there will be less
slippage during this financial year
leading to lower accretion of the gross
NPA numbers apart from that as a part of
strategy we will be doing some write-off
also overall with this the gross and net
NPA is expected to come down in this
financial year
[Music]
[Music]
thank you
who will rule the Vietnam
we are seeing India today when very
often before counting you do get to see
the exact price of the BJP all three
print spot on this time Channel with
number one exit poll Striker India
today's double engine and live state of
War exact pool 10th May 6 PM onwards
only on India Today TV
co-presented by star health insurance
the health insurance specialist powered
by Jaguar discovered the magic of smart
lights
co-powered by Tech Pro by blackberries
show the way
hello and welcome you're with us here on
business today I'm arva pakaya here are
the days top stories
adani group stocks shave off more than
40 000 crore rupees of lic's portfolio
and the Jan to March quarter portfolio
value down around 8 percent on quarter
big gains from the search in the ITC
stock
markets end flat near the day's lows
after a tough tug of war between bulls
and bears eight of the 13 sectoral
indices end in the red investors look to
consolidate after Monday's 700 Point
rally
[Music]
mankind farmer makes a rollicking debut
on D Street investors earn up to 32
Returns on their IPO bet stock closes at
1422 rupees versus issue price of 1080
rupees
the Indian economy can soon achieve nine
percent GDP growth rate watch noted
economists and Veteran policy maker Dr
Alvin panagria in an exclusive
conversation later in the show
[Music]
government rules out bailout of go first
as not possible till the issue of supply
of engines is sorted out with Pratt and
Whitney
[Music]
even as the sensex gained 706 points
this week as the portfolio of Life
Insurance Corporation of India which is
under close watch the kingmaker of G
Street has in its Kitty at least 10
stocks which have shot up by more than
20 percent since January another report
shows The crucial reject in the
financial Giants portfolio in the first
three months of this calendar year
is the largest domestic stock market
player reportedly with enough clout to
set the direction on Dalal Street
and also a white knight to several
listed companies in trouble Life
Insurance Corporation of India or LIC as
it is better known as whole shares of
more than 10 lakh row rupees making it
the king maker of the Indian stock
markets in the spotlight recently due to
its investments in adani group companies
LIC has more than made up for the losses
in the Jan to March quarter
there are at least 10 companies which
have given a return of more than 20
percent in the first five months of this
year
topping the list is rbnl with a
spectacular 87 percent return Carlos
electric aurobindo Pharma and Glenmark
Pharma make up the top four stocks these
are followed by Siemens Tata Motors ITC
and responsible Industries for LIC the
gain in ITC especially gratifying given
it holds more than 15 percent in the
conglomerate
a report by Prime infobase lists out the
biggest Holdings of LIC as on 31st March
of this year
topping the list is Reliance Industries
in which the state-owned life insurer
owns stake worth more than one lakh row
rupees ITC was second followed by Tata
group Flagship TCS Infosys and State
Bank of India completed the top 5 list
what's also important to note is that
while LIC holds more than 10 lakhro
Rupees of equity the Holdings have
dropped nearly 8 percent from the
October to December quarter primarily
due to the dip in adani stocks
the maximum loss in the three months
ending 31st of March was due to adani
Total gas of more than 18 000 crore
rupees adani Enterprises was second on
the list followed by Reliance Industries
SBI also contributed to fall in lic's
Holdings adani transmission stock price
fall led to a dip of nearly six and a
half thousand crore rupees for LIC
[Music]
on the other hand the Beds which paid
off for LIC in absolute terms had ITC
topping the list LIC also booked a
national profit of tech Mahindra Dr
Reddy's lab Gail and ongc
on an overall basis LIC holding went up
in 63 companies listed on NSC in the
past quarter and down in 82 companies
the biggest gains were an fmcg and the
IT sector while LIC saw its value being
eroded by the financial services
Commodities and the energy sectors
pure report visits today television
the sensex failing to maintain that 62
000 Mark today The Benchmark index
opened nearly 200 points up from
yesterday's close before crossing the 62
000 level in trade selling in PSU Banks
fmcg and Realty shares dragging the
indices into red in the last 15 minutes
of trade since extended three points
down while the Nifty was up two points
in a tough tug of war between the bulls
and bears top gainers today David's lab
in the sinbank coal India TCS access
bank top lagards included UPL IHC SBI
Bajaj finance and jsw steel
foreign
[Music]
debut on D Street with its stock listing
at a premium of 20 shares of the Pharma
company listed at 1 300 rupees on the
NSC a premium of 20.3 percent to the
issue price of 1080 rupees the stock
maintained a strong demand all day
reaching a high of 1 430 rupees on the
NSC before settling at 1422 rupees
several analysts have recommended
subscribing to the issue due to the
company's presence across India
[Music]
here's what else is making news in the
corporate world let's take a look Apple
supplier and Taiwanese Tech Giant
Foxconn has bought a huge land parcel of
300 acres worth 300 crores on the
outskirts of Bengaluru the plot will
house the company's biggest mobile
manufacturing plant in the country
Foxconn is planning to invest as much as
8 000 crore rupees in the project the
purchase was announced in a statement to
the London Stock Exchange as Foxconn
looks to diversify its production away
from China
[Music]
zomato shares tanked more than six
percent after global investor Invesco
slashed the valuation of his Rivals
swiggy by 33 the change in swiggy's
valuation triggered a run on the Tomato
stock investors are concerned that
invesco's valuation methodology applies
on zomato as well but analysts believe
that zomato is still a good buy at dips
for small to medium-term gains
Air India has given its Pilots another
week to sign new contracts with the
revised based structure the initial
deadline to sign the contract was 30th
of April which has now been extended to
the coming weekend two of the Airlines
pilot Union the icpa and ipg are opposed
to the new salary structures which have
a lower number of assured flying hours
per month Air India has refused to
recognize the unions
[Music]
social media platform LinkedIn has
announced 716 layoffs and the closure of
its china-based job app called in
careers the layoffs will cut its
existing Workforce of twenty thousand by
three and a half percent LinkedIn is the
latest entry in a list of tech companies
announcing layoffs in the recent months
due to decreasing demand let's take a
very quick break when we return an
exclusive chart with top Economist Dr
Irvin panagria
[Music]
[Applause]
Vincent van Gogh was a forced
impressionist painter who is widely
regarded as one of the greatest artists
of all time
[Music]
his Unique Style news of bold colors
have left an indelible Mark in the art
world
[Music]
[Applause]
the 360 degree exhibit that made its
Mark in Mumbai just launched in New
Delhi
[Music]
as immersive art gains ground in India
this 360 degree exhibit is all of that
and so much more
[Music]
the exhibit is an exciting Expedition
into the world of Van Gogh presenting
the artist with an amalgamation of artx
Technology X artificial intelligence
the Ultra Modern projection worked out
by the audio visual designer is an Ode
to Art it is a mesmerizing artistic
affair
Van Gogh's art was deeply influenced by
his own personal experiences such as his
struggles with mental illness and his
love of nature
he in fact has created over 2000
artworks including some of the most
recognizable paintings in the world like
the starry nights and sunflowers
[Music]
the 360 degree panorama on a larger than
life screen a complimenting musical bed
and a mixture of different fields apart
is currently on display in the national
capital
[Music]
continues to inspire artists and art
lovers alike even over a century after
his death this exhibition aims to
showcase the incredible Legacy of a true
Master using artificial intelligence in
a multimedia format with Riya Modi
lifestyle Bureau India today
[Music]
we are seeing India today when very
often before counting you do get to see
the exact price of the BJP all three
Trend spot on this time Channel with
number one exit poll Striker India
today's double engine live state of War
exact pool 10th May 6 p.m onwards only
on India Today TV
co-presented by star health insurance
the health insurance specialist powered
by Jaguar discover the magic of smart
lights
co-powered by Tech Pro by blackberries
show the way
[Music]
welcome back with recent economic
disruptions including the Commodities
shot largely behind us India's economy
is currently on a strong Wicket and can
soon achieve nine percent GDP growth
that's the word from noted economists
and former Vice chairman of the nithi
ayog Dr Irvin pancrea hear us more from
an exclusive conversation with BT TV
managing editor Siddharth Sarabi the
balance sheet issues that we had at one
point Dr panagaria and that had an
impact across lenders and borrowers are
broadly behind us there may be some
company specific stress but that's a
micro matter really and like you said
the monetary and fiscal stimulus at
least by
analysis post covet have been
responsible how would you describe
India's state of the economy at this
point of time
yes no I'm I remain a bit I have been
upbeat and I remain upbeat uh precisely
because you know uh uh I'll say macro we
have handled incredibly well uh all
congratulations to both the finance and
The Reserve Bank
um uh uh you know through covet Etc uh
all kinds of pressures came to print
more money and all uh we avoided that uh
and we are reaping the fruits of uh of
what we did well uh we have to stay
course on on that front uh there is no
question my worry you know and and
overall I think you know GDP growth this
year we are ending with seven percent uh
maybe seven point one percent uh and uh
I think we'll continue roughly on that
path in the years to come uh my Pro my
sort of worry in India actually uh
remains on micro side I think you know
macro we have always you know even when
you go back to the license permit right
data and all you know broadly except for
small episodes or you know short
episodes of uh uh a responsible behavior
uh uh with Juliet led to the 1991 crisis
also against
uh we always run macro very
conservatively very responsibly where we
have done very badly
is the micro now we started improving
this micro side of it and we've been
doing that but I think we need to do a
bit more Dr panagaria what is your own
assessment of ah this government prime
minister Narendra modi's investment as
far as the reform part is concerned and
I'm glad you made the mention of micro
reforms because some of the big ticket
items have been done it's now the really
careful painstaking work that has to be
done on multiple fronts has this
government been able to invest the same
kind of political Capital that it has
done on other issues on some of these
reform areas you mentioned label for
example and you also said quite
correctly that we will now have to wait
for a year year plus for any major
action
so as far as the record up to this point
is concerned absolutely you know uh Modi
government has done as well or better
than any other government in the past
you know I mean I used to say watch me
government and nurse government did the
big sort of reforms but Modi government
has done very well as well
um uh and and mind you that some of the
reforms that what the government did was
the most difficult reforms I mean you
always backload the tough reforms uh so
uh whether it's bankruptcy code you know
I'd been writing for more than 15 years
that got done GST got done uh one of the
things that I certainly not foreseen
myself which is the digital
infrastructure it is a Marvel to watch
uh which of course you know has really
revolutionized all uh the social
programs you know delivery of social
programs became so so effective you know
uh beneficiaries actually are receiving
pretty much you know close to 100 of
their entitlements so uh uh that then
also passing passing labor laws from the
uh
Parliament at least you know remains to
be implemented but the more difficult
part has been accomplished actually uh
because not no legislation has to be
done it's simply that rules and
regulations have to be written by all
the states and there are a couple of
lagging states which are holding up the
implementation in in this case you know
there's some peculiarity is because a
certain peculiarities you cannot uh
Implement these codes you know in at 90
of their states you have to do it for
the hundred percent because when you
implement these
all the all 30 laws get repealed
automatically and therefore you cannot
do it in ninety percent of the states
and not in the remaining time so so that
is what has been holding it up but that
was a very big major form so uh you know
absolutely
done very well but we are not done we
still have to uh keep at it when in 2024
the government comes back
um I'm certainly a beat that on on the
record uh uh alone uh the the Prime
Minister will come back in 2024 and I
very much hope that we received the
reforms probably in my favorite area
also is still remaining higher education
I think we are not even done in upon
certain things like autonomy to the
colleges we have seemed to have actually
gone back because recently they the
education Ministry revised the rules and
regulations for the autonomous colleges
and autonomy to them and and they
actually take away some some of the uh
more liberal Provisions that had been
put in place earlier so
quite a bit to be done still but but uh
quite a lot has been accomplished in the
last 10 years since you mentioned uh
about what needs to be done and that's
still on the pending list at the current
rate Dr panagaria here and I'm referring
to your earlier mention of our potential
growth when do by when do you expect we
would grow closer to the eight nine
percent nearer to nine percent kind of
trajectory
looking if we Implement
first the labor laws we uh do something
on land that needs to be done land is
incredibly expensive in India and and
that and that is the result of policies
uh not you know it's a longer discussion
but but we need to do something on land
we we do that uh uh and then some bit of
privatization that has been on the
agenda
I think that it's suffice uh if if we
can simply you know uh submit also on on
taxes you know which is a not so much a
central problem but somehow the local
problem from the smaller entrepreneurs I
hear there's a lot the larger
entrepreneurs manage to kind of deal
with the tax system but the smaller ones
uh you know complain quite a bit
actually that tax harassment goes on and
and that drives the smaller businesses
out you know you may have seen there was
a story done by The Economist magazine
how you know a lot of the businesses
have moved to Dubai and all uh uh that
sort of thing should not be happening
you know they I mean even occasionally I
meet here in New York City you know some
people uh who have been running
businesses in India and this is you know
we just have had it with the tax
harassment and so we are just thinking
of moving to the United States uh or or
elsewhere you know so uh so I think that
that needs to be paid attention too but
but I I think uh we are at the cusp we
are almost there internationally by the
way now finally there does seem to be
some bit of breakthrough that you know
Enterprise that the multinationals which
had been invested in China uh and were
looking for alternative locations nor
seem to be coming to India you know I
think finally it looks to me that we do
have a breakthrough there is that U.S
Regional Banks uh and there have been
worries with a European Bank as well and
the fares of a financial contagion how
real is that a risk Dr panagaria is
there a 2008 sort of movement uh waiting
to happen or are these fears overblown
no no I don't think we are going to see
a repeat of 2008. uh that was a very
severe uh shock uh uh luckily you know
in this case uh this originated in the
regional Banks uh and and at least it
began in in a single bank which really
could alert the the the FED reserve and
the treasury in the United States to the
potential problems uh so some of the uh
you know preventive measures have
already been put in place some are under
discussion uh so uh you know you might
still see uh you know episodes uh here
and there uh but you know the uh
ultimately remember the big difference
from 2008 is that it is the large banks
that got into trouble you know lame and
was very very large and then there were
other large Financial entities as well
some of the insurance companies and he's
got into trouble uh that is not the case
here the the pressure here is is a lot
more on the smaller and Regional Banks
but but the big four uh biggest four
Banks they are quite sound uh and they
are not subject to this kind of uh
problem
uh that that the smaller banks are so uh
for the United States internally I think
a bit of challenge no doubt but uh I
don't see that it's going to spill over
uh out of the United States now similar
stuff is going on in Europe as well
because you know the rising interest
rates are impacting uh the balance
sheets of banks around the world
and we are less impacted in this sense
but but
Europe and the United States
particularly are so uh uh we'll see but
these will be localized I I don't see
you know this this is falling this is
spilling over to the global economy it
is your uh sense
yeah is the inflation issue being
handled to some extent in the U.S ah due
to this monetary tightening and is there
some more Runway left for the U.S fed to
keep tightening
yeah see uh on on the monetary side I
think the federal has moved in now it
was a little bit behind the curve uh uh
but but uh it has now moved in and and
the interest rates have gone to about
500 quarter percent from nearly zero
